TP9,AF7,AF8,TP10
-35.15625,-42.96875,-48.828125,-33.203125
-42.96875,-48.828125,-51.26953125,-39.0625
-37.59765625,-46.875,-49.8046875,-36.1328125
-28.80859375,-38.0859375,-41.9921875,-30.76171875
-28.80859375,-36.62109375,-38.57421875,-29.296875
-32.2265625,-37.109375,-44.43359375,-28.80859375
-33.69140625,-46.38671875,-42.96875,-30.2734375
-31.73828125,-55.6640625,-38.0859375,-27.83203125
-36.62109375,-56.15234375,-43.45703125,-26.3671875
-45.41015625,-59.5703125,-44.921875,-31.73828125
-52.24609375,-60.546875,-43.9453125,-45.8984375
-61.03515625,-57.12890625,-51.7578125,-56.640625
-60.05859375,-56.640625,-50.29296875,-54.19921875
-55.6640625,-54.6875,-41.015625,-49.8046875
-57.12890625,-48.33984375,-36.62109375,-50.78125
-63.4765625,-56.15234375,-41.015625,-55.17578125
-62.5,-64.94140625,-43.9453125,-53.22265625
-46.875,-53.7109375,-44.43359375,-41.015625
-38.0859375,-44.43359375,-45.8984375,-37.109375
-42.96875,-48.33984375,-46.38671875,-51.7578125
-50.29296875,-53.22265625,-48.828125,-57.12890625
-50.78125,-56.15234375,-44.921875,-57.6171875
-49.31640625,-57.12890625,-41.50390625,-54.6875
-40.0390625,-48.33984375,-41.015625,-46.875
-34.1796875,-45.41015625,-43.9453125,-40.52734375
-35.64453125,-46.38671875,-45.8984375,-41.9921875
-42.48046875,-47.8515625,-51.26953125,-54.19921875
-44.921875,-55.6640625,-54.19921875,-57.12890625
-39.55078125,-55.6640625,-48.33984375,-53.22265625
-34.66796875,-41.9921875,-45.41015625,-52.734375
-36.62109375,-40.52734375,-45.8984375,-53.7109375
-50.29296875,-55.17578125,-44.921875,-57.12890625
-62.01171875,-62.01171875,-42.96875,-60.546875
-55.6640625,-61.5234375,-44.43359375,-50.29296875
-43.9453125,-50.78125,-48.33984375,-40.52734375
-56.640625,-44.921875,-57.6171875,-59.5703125
-69.3359375,-53.7109375,-57.6171875,-72.75390625
-67.87109375,-59.5703125,-46.875,-63.4765625
-59.5703125,-51.7578125,-46.38671875,-50.78125
-54.19921875,-44.43359375,-54.6875,-51.26953125
-53.22265625,-47.8515625,-56.15234375,-51.7578125
-45.41015625,-46.875,-52.24609375,-46.38671875
-45.8984375,-51.26953125,-46.875,-45.8984375
-48.828125,-60.546875,-45.8984375,-42.48046875
-36.62109375,-52.24609375,-44.921875,-29.78515625
-31.73828125,-43.45703125,-43.45703125,-28.80859375
-36.1328125,-47.8515625,-45.8984375,-44.43359375
-44.43359375,-55.17578125,-48.33984375,-45.41015625
-48.33984375,-55.17578125,-49.31640625,-45.41015625
-46.38671875,-53.7109375,-48.33984375,-50.78125
-48.33984375,-52.734375,-49.31640625,-49.8046875
-53.7109375,-50.29296875,-54.6875,-53.7109375
-67.3828125,-48.828125,-57.12890625,-63.4765625
-66.40625,-42.48046875,-51.26953125,-60.546875
-56.640625,-36.1328125,-50.29296875,-48.828125
-58.59375,-44.43359375,-49.31640625,-48.33984375
-63.96484375,-48.33984375,-45.41015625,-59.5703125
-68.359375,-48.828125,-46.875,-62.98828125
-67.87109375,-49.31640625,-43.9453125,-52.24609375
-65.4296875,-44.43359375,-38.0859375,-45.41015625
-65.4296875,-41.9921875,-36.62109375,-46.875
-61.5234375,-43.9453125,-37.109375,-39.55078125
-55.6640625,-50.29296875,-40.0390625,-36.1328125
-49.8046875,-53.22265625,-46.38671875,-41.50390625
-48.828125,-46.875,-53.22265625,-45.8984375
-48.33984375,-37.109375,-49.31640625,-52.24609375
-52.734375,-41.015625,-51.7578125,-58.59375
-59.08203125,-50.29296875,-55.6640625,-61.03515625
-63.96484375,-55.6640625,-50.29296875,-59.5703125
-57.6171875,-58.59375,-45.8984375,-45.41015625
-40.0390625,-50.29296875,-45.8984375,-38.0859375
-42.48046875,-47.36328125,-50.29296875,-46.38671875
-47.8515625,-48.33984375,-51.7578125,-43.9453125
-41.015625,-48.33984375,-49.31640625,-35.15625
-38.0859375,-47.8515625,-48.828125,-29.78515625
-34.1796875,-42.96875,-47.36328125,-24.4140625
-40.52734375,-40.0390625,-50.78125,-36.1328125
-49.8046875,-44.43359375,-56.640625,-52.24609375
-48.828125,-50.78125,-50.29296875,-52.734375
-48.33984375,-51.7578125,-39.0625,-50.29296875
-44.921875,-49.8046875,-36.1328125,-47.8515625
-49.8046875,-52.734375,-38.0859375,-48.828125
-53.7109375,-55.17578125,-40.52734375,-52.734375
-60.546875,-51.7578125,-47.36328125,-53.7109375
-65.4296875,-52.24609375,-46.875,-53.22265625
-62.5,-57.12890625,-45.41015625,-55.17578125
-62.01171875,-55.17578125,-49.31640625,-62.98828125
-56.640625,-50.29296875,-49.31640625,-72.75390625
-54.19921875,-54.19921875,-51.26953125,-71.77734375
-56.15234375,-49.8046875,-51.26953125,-61.5234375
-52.734375,-46.875,-46.875,-57.12890625
-44.921875,-51.26953125,-51.26953125,-58.10546875
-40.0390625,-49.31640625,-51.26953125,-56.640625
-44.921875,-50.78125,-57.6171875,-62.01171875
-42.48046875,-47.8515625,-63.4765625,-60.546875
-33.203125,-43.45703125,-52.24609375,-52.24609375
-32.2265625,-40.52734375,-46.875,-49.8046875
-38.0859375,-42.48046875,-54.19921875,-54.19921875
-42.48046875,-48.33984375,-52.24609375,-53.22265625
-44.921875,-53.7109375,-44.921875,-45.8984375
-43.9453125,-56.640625,-47.8515625,-39.55078125
-41.9921875,-50.29296875,-51.26953125,-34.1796875
-49.8046875,-56.15234375,-52.24609375,-40.0390625
-56.640625,-66.89453125,-51.26953125,-42.96875
-51.7578125,-65.4296875,-48.33984375,-37.109375
-47.36328125,-59.5703125,-49.8046875,-37.59765625
-52.24609375,-56.15234375,-52.24609375,-44.921875
-48.828125,-51.7578125,-48.33984375,-42.96875
-49.8046875,-54.6875,-51.7578125,-45.41015625
-55.17578125,-60.05859375,-50.29296875,-44.921875
-50.29296875,-49.31640625,-42.96875,-39.0625
-46.38671875,-47.36328125,-40.52734375,-45.8984375
-44.43359375,-50.29296875,-38.0859375,-55.17578125
-43.9453125,-50.78125,-43.9453125,-57.12890625
-40.52734375,-48.828125,-45.41015625,-49.31640625
-39.0625,-46.38671875,-41.50390625,-42.96875
-39.55078125,-48.33984375,-47.8515625,-42.48046875
-35.64453125,-43.9453125,-48.828125,-44.43359375
-35.64453125,-44.43359375,-40.52734375,-40.52734375
-39.55078125,-49.31640625,-34.1796875,-34.1796875
-35.15625,-51.26953125,-41.015625,-26.85546875
-20.99609375,-45.41015625,-47.36328125,-21.97265625
-23.92578125,-44.921875,-47.36328125,-26.85546875
-38.0859375,-48.828125,-51.7578125,-37.59765625
-41.015625,-48.828125,-52.734375,-41.015625
-37.59765625,-41.9921875,-45.8984375,-36.62109375
-38.57421875,-37.59765625,-41.50390625,-35.15625
-48.828125,-41.9921875,-44.43359375,-41.50390625
-61.5234375,-49.8046875,-50.29296875,-53.7109375
-67.87109375,-55.6640625,-57.6171875,-54.19921875
-63.96484375,-49.8046875,-59.08203125,-49.8046875
-52.734375,-43.45703125,-54.6875,-51.7578125
-43.45703125,-40.52734375,-53.7109375,-55.17578125
-52.734375,-47.8515625,-53.7109375,-66.40625
-61.5234375,-56.15234375,-53.22265625,-79.1015625
-52.24609375,-57.6171875,-55.17578125,-74.70703125
-45.8984375,-55.6640625,-54.19921875,-63.4765625
-40.0390625,-47.36328125,-50.29296875,-54.19921875
-44.43359375,-46.38671875,-52.24609375,-55.17578125
-50.29296875,-60.05859375,-57.12890625,-58.10546875
-35.64453125,-58.10546875,-55.6640625,-46.38671875
-21.97265625,-43.9453125,-44.921875,-32.2265625
-24.90234375,-44.43359375,-43.9453125,-31.25
-32.2265625,-51.26953125,-51.26953125,-37.59765625
-30.2734375,-53.22265625,-47.8515625,-36.1328125
-33.203125,-57.12890625,-49.31640625,-32.71484375
-35.64453125,-55.6640625,-53.22265625,-34.1796875
-35.15625,-52.24609375,-48.33984375,-33.203125
-44.43359375,-52.734375,-48.33984375,-34.66796875
-50.78125,-51.26953125,-48.33984375,-38.57421875
-55.17578125,-56.15234375,-53.22265625,-42.96875
-48.828125,-58.59375,-59.08203125,-41.015625
-41.015625,-47.36328125,-52.734375,-41.9921875
-52.24609375,-47.8515625,-47.36328125,-51.7578125
-66.40625,-54.6875,-48.33984375,-59.5703125
-65.4296875,-54.19921875,-55.17578125,-63.4765625
-66.89453125,-51.7578125,-52.24609375,-65.91796875
-64.453125,-44.43359375,-43.45703125,-64.453125
-61.03515625,-39.0625,-47.8515625,-64.94140625
-67.3828125,-42.48046875,-57.12890625,-70.3125
-66.40625,-49.8046875,-48.828125,-62.5
