TP9,AF7,AF8,TP10
-106.4453125,-105.95703125,-59.5703125,-52.734375
-72.75390625,-116.69921875,-49.8046875,-5.37109375
9.27734375,-20.99609375,-41.50390625,-33.203125
32.2265625,51.26953125,-45.41015625,-84.9609375
-40.52734375,-11.23046875,-48.828125,-84.47265625
-96.19140625,-101.07421875,-45.8984375,-34.1796875
-79.1015625,-127.44140625,-40.0390625,13.18359375
-0.48828125,-30.2734375,-37.109375,-9.765625
30.76171875,53.22265625,-38.0859375,-69.3359375
-34.1796875,1.46484375,-40.52734375,-76.171875
-94.7265625,-85.44921875,-42.96875,-27.34375
-93.75,-118.1640625,-46.38671875,19.53125
-15.625,-37.59765625,-44.921875,3.90625
28.3203125,36.1328125,-43.45703125,-60.05859375
-30.2734375,2.9296875,-47.8515625,-94.23828125
-96.6796875,-84.9609375,-45.41015625,-53.22265625
-99.12109375,-127.9296875,-41.50390625,-2.9296875
-19.53125,-51.26953125,-38.0859375,-17.578125
23.4375,38.57421875,-43.9453125,-72.75390625
-26.85546875,14.6484375,-60.05859375,-99.12109375
-94.7265625,-83.49609375,-56.15234375,-51.7578125
-106.4453125,-135.25390625,-41.015625,12.6953125
-26.85546875,-67.87109375,-38.57421875,9.27734375
26.3671875,32.2265625,-37.59765625,-44.43359375
-15.13671875,29.78515625,-41.015625,-82.03125
-92.7734375,-78.125,-45.8984375,-54.19921875
-119.62890625,-137.20703125,-44.921875,1.953125
-47.36328125,-75.1953125,-38.0859375,9.765625
27.34375,21.484375,-36.1328125,-39.0625
11.23046875,42.48046875,-43.45703125,-87.890625
-72.265625,-43.9453125,-54.6875,-69.82421875
-114.74609375,-124.0234375,-55.17578125,-13.18359375
-59.5703125,-102.5390625,-41.9921875,9.765625
15.13671875,2.9296875,-37.109375,-32.2265625
11.71875,37.109375,-43.9453125,-80.078125
-68.84765625,-50.78125,-51.7578125,-74.21875
-107.91015625,-134.27734375,-50.29296875,-26.3671875
-65.91796875,-116.69921875,-42.48046875,1.953125
9.27734375,-2.9296875,-42.48046875,-38.57421875
17.578125,52.734375,-45.8984375,-85.44921875
-69.3359375,-21.484375,-51.7578125,-78.125
-118.65234375,-105.95703125,-51.26953125,-22.94921875
-94.23828125,-101.5625,-44.43359375,7.8125
-15.13671875,-15.13671875,-41.50390625,-29.78515625
9.765625,34.1796875,-40.52734375,-84.9609375
-60.546875,-28.80859375,-53.22265625,-95.21484375
-93.75,-121.09375,-56.15234375,-34.1796875
-83.0078125,-145.01953125,-41.9921875,3.90625
-31.73828125,-53.22265625,-36.1328125,-53.22265625
0.48828125,29.78515625,-36.62109375,-105.46875
-59.08203125,-16.11328125,-35.15625,-99.12109375
-119.62890625,-112.3046875,-39.55078125,-50.29296875
-109.375,-144.04296875,-35.64453125,-1.46484375
-34.1796875,-41.50390625,-32.2265625,-20.99609375
5.37109375,49.31640625,-45.8984375,-79.58984375
-41.015625,-2.9296875,-49.8046875,-92.28515625
-104.98046875,-108.3984375,-44.921875,-42.48046875
-115.234375,-147.4609375,-43.9453125,2.44140625
-33.69140625,-60.05859375,-41.015625,-10.25390625
23.4375,27.34375,-46.38671875,-73.2421875
-26.85546875,8.7890625,-52.734375,-114.74609375
-106.93359375,-81.54296875,-51.26953125,-81.54296875
-122.55859375,-138.18359375,-48.33984375,-22.4609375
-43.45703125,-75.1953125,-41.015625,-17.08984375
11.23046875,19.53125,-46.38671875,-69.82421875
-20.99609375,35.64453125,-50.29296875,-103.02734375
-96.6796875,-59.08203125,-50.78125,-64.94140625
-122.55859375,-153.80859375,-51.7578125,-0.48828125
-48.33984375,-91.796875,-43.45703125,7.8125
8.30078125,24.90234375,-54.6875,-56.640625
-13.671875,28.3203125,-57.6171875,-100.09765625
-79.58984375,-64.94140625,-50.29296875,-67.87109375
-113.28125,-136.23046875,-44.43359375,-9.27734375
-61.03515625,-101.5625,-39.0625,5.37109375
4.39453125,0.0,-41.50390625,-51.7578125
-5.859375,36.62109375,-45.8984375,-100.09765625
-80.078125,-40.0390625,-49.31640625,-70.80078125
