TP9,AF7,AF8,TP10
-34.66796875,-36.1328125,-39.55078125,-35.15625
-39.55078125,-44.43359375,-38.0859375,-35.15625
-41.9921875,-62.01171875,-39.0625,-28.80859375
-41.9921875,-34.1796875,-39.0625,-30.2734375
-41.9921875,-18.5546875,-35.15625,-35.15625
-41.015625,-22.94921875,-41.50390625,-42.48046875
-41.9921875,-66.40625,-51.26953125,-45.41015625
-50.78125,-72.265625,-55.17578125,-42.96875
-52.734375,-37.59765625,-55.17578125,-48.33984375
-40.0390625,-54.19921875,-53.7109375,-46.38671875
-36.62109375,-65.91796875,-49.8046875,-41.50390625
-44.43359375,-57.6171875,-47.36328125,-29.296875
-56.640625,-41.9921875,-45.8984375,-21.484375
-62.5,-41.015625,-50.78125,-28.3203125
-49.8046875,-39.0625,-55.17578125,-35.15625
-46.875,-43.45703125,-48.33984375,-45.8984375
-46.38671875,-60.05859375,-48.828125,-50.29296875
-53.7109375,-52.24609375,-53.22265625,-50.29296875
-53.22265625,-54.19921875,-53.7109375,-48.828125
-49.8046875,-62.98828125,-56.640625,-57.6171875
-51.26953125,-65.91796875,-55.6640625,-67.3828125
-48.828125,-73.2421875,-57.12890625,-66.89453125
-58.59375,-58.10546875,-58.59375,-61.03515625
-67.3828125,-42.48046875,-54.19921875,-56.640625
-51.7578125,-41.9921875,-51.26953125,-53.7109375
-41.50390625,-48.33984375,-48.828125,-68.84765625
-43.45703125,-61.5234375,-46.38671875,-71.2890625
-44.921875,-63.4765625,-49.31640625,-58.10546875
-50.29296875,-43.9453125,-55.6640625,-52.734375
-48.33984375,-16.6015625,-57.6171875,-49.8046875
-46.875,-43.9453125,-54.6875,-50.78125
-46.875,-86.9140625,-50.29296875,-46.38671875
-56.640625,-78.61328125,-52.24609375,-50.29296875
-54.19921875,-64.453125,-49.8046875,-45.8984375
-44.43359375,-48.828125,-49.8046875,-39.55078125
-46.875,-28.3203125,-54.6875,-53.7109375
-49.31640625,-47.36328125,-51.7578125,-52.24609375
-59.08203125,-70.3125,-54.19921875,-49.31640625
-62.01171875,-50.29296875,-57.6171875,-43.9453125
-53.22265625,-55.17578125,-56.15234375,-34.1796875
-47.36328125,-46.875,-56.640625,-42.48046875
-41.9921875,-24.4140625,-55.6640625,-45.8984375
-50.29296875,-76.171875,-60.05859375,-45.8984375
-63.4765625,-85.44921875,-59.5703125,-55.17578125
-68.359375,-41.50390625,-53.7109375,-54.6875
-59.5703125,-38.0859375,-51.7578125,-56.640625
-58.59375,-61.03515625,-55.6640625,-81.54296875
-61.5234375,-83.984375,-53.22265625,-80.56640625
-61.03515625,-61.03515625,-53.7109375,-65.91796875
-62.01171875,-41.9921875,-58.59375,-68.359375
-58.59375,-54.6875,-58.10546875,-74.21875
-67.3828125,-66.40625,-60.05859375,-79.1015625
-70.80078125,-73.73046875,-56.640625,-72.75390625
-75.1953125,-44.921875,-53.7109375,-61.5234375
-75.1953125,-38.0859375,-54.19921875,-59.08203125
-57.12890625,-70.3125,-53.22265625,-60.546875
-51.7578125,-75.1953125,-59.08203125,-66.40625
-58.59375,-80.078125,-59.08203125,-62.98828125
-66.89453125,-73.2421875,-55.17578125,-55.17578125
-72.75390625,-58.10546875,-55.17578125,-57.12890625
-65.4296875,-46.38671875,-61.5234375,-65.91796875
-58.59375,-48.33984375,-63.4765625,-68.359375
