TP9,AF7,AF8,TP10
-25.87890625,-134.27734375,-67.3828125,-7.8125
-11.71875,-45.41015625,-61.5234375,10.25390625
16.6015625,-13.18359375,-62.01171875,13.671875
20.99609375,-42.48046875,-64.453125,3.41796875
0.9765625,-111.81640625,-63.96484375,-6.34765625
-20.5078125,-103.515625,-63.96484375,-8.7890625
-19.04296875,-59.5703125,-63.96484375,-0.9765625
0.48828125,-34.1796875,-61.5234375,2.9296875
9.27734375,-37.109375,-56.640625,-3.41796875
0.0,-118.65234375,-60.546875,-15.13671875
-24.90234375,-136.71875,-63.96484375,-24.4140625
-32.2265625,-58.59375,-62.98828125,-17.08984375
-5.37109375,29.296875,-60.546875,-7.32421875
3.41796875,-3.90625,-54.19921875,-15.13671875
-13.671875,-107.421875,-54.19921875,-29.78515625
-29.296875,-131.34765625,-51.7578125,-28.80859375
-30.2734375,-52.734375,-46.875,-15.13671875
-14.6484375,21.97265625,-51.26953125,-9.27734375
-0.48828125,-16.11328125,-48.33984375,-13.18359375
-11.23046875,-110.83984375,-44.43359375,-25.87890625
-39.55078125,-147.94921875,-52.24609375,-33.203125
-53.22265625,-98.14453125,-55.17578125,-25.390625
-35.64453125,5.859375,-50.78125,-12.20703125
-13.18359375,21.484375,-40.0390625,-8.7890625
-17.578125,-84.9609375,-28.3203125,-15.13671875
-45.41015625,-122.55859375,-34.66796875,-22.4609375
-53.22265625,-82.51953125,-45.8984375,-20.01953125
-31.73828125,9.765625,-47.36328125,-12.6953125
-15.625,12.20703125,-43.45703125,-17.578125
-16.6015625,-42.96875,-47.36328125,-20.99609375
-28.80859375,-104.4921875,-48.828125,-23.92578125
-50.78125,-127.9296875,-48.828125,-26.85546875
-47.36328125,-13.18359375,-52.24609375,-24.4140625
-27.34375,10.25390625,-44.921875,-22.94921875
-31.25,-64.94140625,-39.0625,-30.2734375
-46.38671875,-99.12109375,-47.36328125,-39.0625
-56.640625,-80.078125,-57.12890625,-35.15625
-49.8046875,-0.48828125,-50.29296875,-29.78515625
-30.2734375,50.29296875,-36.1328125,-33.203125
-30.2734375,-31.73828125,-40.0390625,-45.8984375
-45.8984375,-118.1640625,-42.96875,-52.734375
-59.5703125,-77.1484375,-41.9921875,-50.29296875
-59.08203125,-23.92578125,-48.828125,-43.9453125
-33.69140625,1.953125,-41.50390625,-33.69140625
-20.5078125,-14.16015625,-32.2265625,-34.66796875
-33.203125,-108.88671875,-34.66796875,-41.015625
-55.6640625,-127.44140625,-37.59765625,-41.015625
-62.5,-39.55078125,-37.109375,-33.203125
-44.43359375,14.16015625,-33.69140625,-27.83203125
-34.66796875,-14.6484375,-32.2265625,-34.66796875
-39.0625,-84.47265625,-35.15625,-44.921875
-52.24609375,-113.76953125,-37.109375,-48.828125
-62.01171875,-46.875,-44.921875,-41.9921875
-43.45703125,39.0625,-44.921875,-37.59765625
-33.69140625,-12.20703125,-40.52734375,-46.38671875
-42.48046875,-118.1640625,-47.8515625,-53.7109375
-45.8984375,-122.55859375,-49.31640625,-45.8984375
-44.921875,-49.31640625,-43.9453125,-30.2734375
-23.92578125,30.76171875,-33.69140625,-12.20703125
-6.8359375,-7.32421875,-23.92578125,-19.04296875
-18.06640625,-78.61328125,-28.80859375,-37.109375
-37.59765625,-96.19140625,-38.57421875,-39.0625
-39.0625,-47.36328125,-42.96875,-34.1796875
-20.5078125,8.30078125,-38.57421875,-22.94921875
-11.71875,8.7890625,-36.62109375,-27.34375
-19.53125,-26.85546875,-35.64453125,-45.41015625
-39.55078125,-114.74609375,-35.64453125,-52.734375
-54.19921875,-98.6328125,-41.015625,-46.38671875
-38.0859375,22.94921875,-40.52734375,-32.2265625
-18.06640625,23.92578125,-43.45703125,-31.73828125
-21.484375,-52.734375,-47.36328125,-39.55078125
-41.50390625,-101.5625,-53.7109375,-45.8984375
-53.22265625,-88.8671875,-51.7578125,-37.59765625
-48.828125,-11.23046875,-43.45703125,-32.2265625
-35.64453125,13.671875,-40.52734375,-37.59765625
-39.55078125,-49.31640625,-36.1328125,-40.52734375
-50.29296875,-90.8203125,-30.2734375,-45.8984375
-61.5234375,-76.66015625,-32.71484375,-43.9453125
-54.6875,-41.50390625,-36.62109375,-32.2265625
-31.25,-8.30078125,-34.66796875,-28.80859375
-33.69140625,-43.45703125,-36.1328125,-36.1328125
-50.78125,-112.3046875,-33.203125,-38.57421875
-61.03515625,-98.14453125,-35.64453125,-33.69140625
-55.6640625,7.32421875,-40.0390625,-24.4140625
-33.69140625,1.46484375,-40.0390625,-26.85546875
-19.53125,-47.8515625,-38.57421875,-32.71484375
-33.69140625,-95.21484375,-43.45703125,-42.48046875
-61.5234375,-138.671875,-43.9453125,-51.26953125
-59.5703125,-22.94921875,-38.0859375,-40.52734375
-34.66796875,63.96484375,-34.1796875,-26.85546875
-28.80859375,-19.53125,-32.71484375,-36.1328125
-47.8515625,-114.2578125,-36.62109375,-51.7578125
-68.84765625,-124.0234375,-52.734375,-54.19921875
-55.6640625,-30.76171875,-54.19921875,-36.1328125
-36.62109375,34.66796875,-37.109375,-32.2265625
-54.6875,-15.625,-39.55078125,-59.08203125
-63.96484375,-83.984375,-47.8515625,-66.89453125
-67.3828125,-94.23828125,-41.9921875,-57.12890625
-76.171875,-47.36328125,-36.1328125,-50.78125
-62.5,-7.32421875,-37.59765625,-43.45703125
-48.33984375,0.0,-37.109375,-42.96875
-59.08203125,-51.7578125,-37.59765625,-54.6875
-76.171875,-115.234375,-39.55078125,-60.546875
-75.1953125,-69.3359375,-44.921875,-51.7578125
-51.7578125,14.6484375,-47.8515625,-39.55078125
-35.15625,20.5078125,-47.36328125,-38.0859375
-39.0625,-59.5703125,-45.41015625,-46.38671875
-57.6171875,-117.67578125,-46.875,-57.12890625
-67.87109375,-85.44921875,-47.8515625,-50.78125
-53.22265625,20.5078125,-45.41015625,-31.25
-32.2265625,44.43359375,-39.0625,-25.390625
-30.2734375,-59.5703125,-37.59765625,-34.66796875
-52.24609375,-97.65625,-48.828125,-47.8515625
-71.77734375,-59.5703125,-50.29296875,-56.640625
-58.59375,5.859375,-41.50390625,-48.33984375
-35.64453125,4.39453125,-36.62109375,-43.45703125
-39.55078125,-72.265625,-35.15625,-53.22265625
-62.98828125,-113.76953125,-42.96875,-61.5234375
-71.77734375,-83.49609375,-46.875,-55.17578125
-60.05859375,-9.27734375,-42.48046875,-41.015625
-38.0859375,24.90234375,-42.96875,-37.109375
-32.2265625,-32.71484375,-47.36328125,-48.33984375
-48.33984375,-105.46875,-50.78125,-57.12890625
-65.4296875,-103.02734375,-56.15234375,-53.22265625
-59.5703125,-21.484375,-55.6640625,-43.9453125
-33.203125,44.43359375,-45.41015625,-37.109375
-29.78515625,-27.34375,-52.24609375,-45.8984375
-41.50390625,-107.421875,-58.59375,-52.734375
-52.24609375,-108.3984375,-50.78125,-48.33984375
-51.26953125,-42.96875,-49.8046875,-40.0390625
-24.90234375,32.2265625,-41.015625,-26.3671875
-19.53125,-8.7890625,-41.015625,-32.71484375
-41.9921875,-86.9140625,-43.45703125,-50.78125
-66.40625,-100.09765625,-39.0625,-51.7578125
-63.4765625,-29.78515625,-37.109375,-40.52734375
-38.57421875,31.25,-34.66796875,-37.59765625
-33.69140625,-11.71875,-35.64453125,-46.38671875
-43.9453125,-68.84765625,-39.0625,-55.6640625
-62.98828125,-110.83984375,-43.9453125,-58.59375
-70.3125,-77.63671875,-46.875,-50.29296875
-50.29296875,20.99609375,-45.8984375,-39.55078125
-33.69140625,6.8359375,-41.015625,-40.0390625
-41.50390625,-69.82421875,-43.45703125,-48.828125
-68.359375,-100.09765625,-52.24609375,-58.59375
-78.61328125,-65.4296875,-50.78125,-54.6875
-53.22265625,10.7421875,-43.45703125,-42.96875
-33.69140625,12.6953125,-46.875,-44.921875
-34.1796875,-72.265625,-54.19921875,-59.08203125
-47.8515625,-95.21484375,-51.26953125,-61.03515625
-53.22265625,-34.66796875,-47.8515625,-47.36328125
-27.34375,15.625,-46.875,-30.2734375
-24.90234375,7.32421875,-45.41015625,-44.43359375
-48.33984375,-72.75390625,-40.0390625,-72.75390625
-64.94140625,-125.0,-55.6640625,-66.89453125
-74.70703125,-76.171875,-64.94140625,-51.7578125
-59.5703125,14.16015625,-41.015625,-44.921875
-41.50390625,24.4140625,-37.109375,-47.36328125
-48.828125,-51.7578125,-45.41015625,-60.546875
-62.98828125,-97.65625,-49.8046875,-66.89453125
-74.21875,-105.95703125,-51.7578125,-56.15234375
-58.59375,2.9296875,-42.96875,-41.015625
-38.0859375,61.5234375,-39.55078125,-37.59765625
-41.015625,-52.24609375,-45.41015625,-51.26953125
-56.640625,-130.859375,-52.24609375,-59.08203125
-70.3125,-97.65625,-51.7578125,-50.29296875
-60.546875,-11.71875,-41.9921875,-40.52734375
-38.0859375,18.5546875,-49.31640625,-33.203125
-30.2734375,-27.83203125,-52.24609375,-35.64453125
-41.50390625,-81.0546875,-50.78125,-46.875
-54.19921875,-95.21484375,-55.17578125,-46.875
-55.6640625,-31.73828125,-58.10546875,-39.0625
-33.69140625,9.765625,-61.03515625,-33.69140625
-23.92578125,-13.671875,-53.7109375,-36.62109375
-39.0625,-48.828125,-42.48046875,-48.33984375
-58.10546875,-98.14453125,-37.109375,-48.33984375
-59.08203125,-58.59375,-42.96875,-38.57421875
-34.66796875,0.9765625,-45.41015625,-30.76171875
-29.296875,-24.90234375,-46.875,-42.96875
-37.59765625,-77.1484375,-48.828125,-52.24609375
-47.8515625,-113.76953125,-41.9921875,-41.015625
-58.10546875,-58.10546875,-45.8984375,-36.62109375
-44.921875,12.6953125,-49.31640625,-32.71484375
-32.71484375,-5.37109375,-44.921875,-36.1328125
-43.9453125,-83.49609375,-38.0859375,-45.8984375
-59.5703125,-105.95703125,-39.55078125,-44.921875
-61.03515625,-20.5078125,-46.875,-35.64453125
-43.9453125,2.44140625,-42.96875,-29.296875
-32.2265625,-29.78515625,-44.43359375,-34.1796875
-41.50390625,-51.26953125,-46.38671875,-45.8984375
-62.98828125,-106.4453125,-48.828125,-51.26953125
-72.75390625,-83.984375,-50.29296875,-41.50390625
-53.7109375,14.16015625,-37.109375,-28.80859375
-30.76171875,11.23046875,-28.80859375,-30.2734375
-33.203125,-64.94140625,-32.2265625,-42.48046875
-50.29296875,-100.5859375,-33.203125,-41.9921875
-61.03515625,-76.171875,-37.59765625,-35.15625
-45.8984375,7.32421875,-39.0625,-30.2734375
-16.6015625,46.875,-37.59765625,-20.01953125
-4.8828125,-42.48046875,-42.96875,-17.578125
-28.3203125,-115.234375,-40.52734375,-32.71484375
-66.40625,-110.3515625,-45.41015625,-44.43359375
-59.5703125,-22.4609375,-42.48046875,-40.0390625
-22.94921875,25.87890625,-33.69140625,-28.3203125
-24.90234375,-37.59765625,-38.0859375,-38.57421875
-46.875,-108.88671875,-41.50390625,-54.19921875
-57.6171875,-87.40234375,-42.48046875,-52.734375
-56.15234375,-13.671875,-54.19921875,-47.8515625
-44.43359375,0.48828125,-54.6875,-49.8046875
-43.45703125,-46.875,-42.48046875,-62.98828125
-55.6640625,-77.1484375,-38.57421875,-71.2890625
-74.70703125,-112.3046875,-41.9921875,-67.87109375
-67.87109375,-56.15234375,-46.38671875,-52.24609375
-37.109375,10.7421875,-45.8984375,-41.50390625
-33.69140625,-21.97265625,-38.57421875,-42.96875
-44.921875,-85.44921875,-39.55078125,-48.828125
-59.5703125,-133.7890625,-44.43359375,-47.8515625
-57.6171875,-33.203125,-42.48046875,-35.15625
-30.76171875,42.96875,-38.0859375,-26.85546875
-30.2734375,-16.6015625,-36.62109375,-34.66796875
-53.22265625,-113.28125,-41.9921875,-50.78125
-70.3125,-104.4921875,-44.43359375,-51.7578125
-65.4296875,-12.20703125,-49.8046875,-41.50390625
-33.203125,-0.9765625,-52.24609375,-31.73828125
-16.11328125,-14.6484375,-52.24609375,-33.203125
-28.80859375,-78.61328125,-54.19921875,-49.8046875
-52.24609375,-120.1171875,-45.41015625,-60.05859375
-56.15234375,-44.921875,-41.9921875,-47.36328125
-36.1328125,8.7890625,-41.9921875,-37.109375
-21.484375,2.9296875,-37.59765625,-37.109375
-29.296875,-69.82421875,-33.69140625,-47.36328125
-52.734375,-119.62890625,-42.48046875,-54.6875
-64.94140625,-78.125,-52.734375,-45.8984375
-45.41015625,13.18359375,-46.38671875,-33.69140625
-22.4609375,47.36328125,-31.25,-32.2265625
-31.25,-61.5234375,-33.69140625,-46.38671875
-57.6171875,-154.296875,-43.9453125,-54.6875
-72.75390625,-99.12109375,-48.828125,-46.38671875
-58.10546875,7.8125,-50.78125,-30.76171875
-42.48046875,21.97265625,-47.8515625,-33.203125
-45.41015625,-30.2734375,-42.48046875,-47.8515625
-61.5234375,-92.28515625,-42.48046875,-57.12890625
-75.68359375,-106.4453125,-43.45703125,-53.22265625
-52.24609375,9.765625,-40.0390625,-34.1796875
-18.06640625,40.52734375,-37.59765625,-23.92578125
-21.484375,-42.48046875,-27.83203125,-37.109375
-49.31640625,-68.84765625,-34.66796875,-54.19921875
-65.91796875,-110.3515625,-52.24609375,-49.8046875
-47.8515625,-27.83203125,-44.43359375,-31.73828125
-19.04296875,65.4296875,-35.15625,-28.80859375
-18.5546875,-37.59765625,-39.0625,-38.0859375
-39.0625,-113.28125,-44.43359375,-45.8984375
-62.01171875,-100.09765625,-45.41015625,-48.828125
-55.6640625,-17.08984375,-41.015625,-44.43359375
-26.85546875,31.25,-33.203125,-33.69140625
-17.578125,-12.20703125,-29.296875,-36.1328125
-31.25,-115.72265625,-34.1796875,-45.8984375
-51.7578125,-100.5859375,-37.109375,-45.8984375
-53.22265625,18.5546875,-43.45703125,-33.203125
-38.0859375,6.34765625,-43.9453125,-28.80859375
-31.25,-33.203125,-38.0859375,-33.203125
-41.9921875,-108.3984375,-36.62109375,-43.45703125
-61.03515625,-129.39453125,-34.66796875,-43.9453125
-57.6171875,-21.97265625,-41.9921875,-29.78515625
-30.76171875,39.0625,-39.55078125,-20.99609375
-19.04296875,-10.25390625,-30.76171875,-22.94921875
-34.66796875,-74.70703125,-31.73828125,-39.0625
-57.12890625,-96.6796875,-34.66796875,-41.50390625
-55.6640625,-48.828125,-40.0390625,-35.15625
-33.203125,16.6015625,-45.8984375,-29.78515625
-12.6953125,36.62109375,-40.52734375,-30.76171875
-24.4140625,-64.453125,-42.48046875,-50.29296875
-48.828125,-133.30078125,-50.78125,-54.6875
-58.10546875,-64.453125,-54.19921875,-41.9921875
-34.1796875,36.62109375,-57.12890625,-31.73828125
-10.7421875,28.3203125,-52.24609375,-29.78515625
-15.625,-58.59375,-50.29296875,-38.0859375
-32.71484375,-105.95703125,-49.31640625,-43.9453125
-53.7109375,-57.6171875,-45.41015625,-42.48046875
-41.015625,52.734375,-42.48046875,-33.203125
-19.04296875,31.25,-39.55078125,-32.2265625
-26.3671875,-64.453125,-39.55078125,-43.45703125
-51.26953125,-78.125,-42.96875,-51.7578125
-64.94140625,-83.984375,-45.8984375,-49.31640625
-51.26953125,-19.04296875,-43.9453125,-35.64453125
-27.83203125,7.8125,-46.38671875,-30.76171875
-29.78515625,-71.2890625,-45.8984375,-42.96875
-46.875,-86.9140625,-45.41015625,-50.78125
-59.5703125,-85.9375,-49.31640625,-40.52734375
-48.33984375,-6.8359375,-47.36328125,-28.3203125
-25.87890625,31.25,-43.9453125,-20.5078125
-23.4375,-45.8984375,-38.0859375,-28.80859375
-37.59765625,-100.09765625,-35.64453125,-51.26953125
-55.17578125,-89.35546875,-31.73828125,-51.26953125
-48.33984375,0.0,-31.73828125,-35.15625
-21.97265625,31.73828125,-39.55078125,-31.25
-20.99609375,-42.48046875,-41.50390625,-39.55078125
-41.015625,-107.91015625,-43.9453125,-54.6875
-53.22265625,-101.07421875,-43.45703125,-55.6640625
-50.78125,-13.671875,-43.45703125,-43.9453125
-31.73828125,38.57421875,-47.36328125,-41.50390625
-27.34375,-19.04296875,-46.875,-49.8046875
-43.9453125,-81.0546875,-47.8515625,-64.94140625
-64.453125,-84.47265625,-49.8046875,-64.94140625
-67.87109375,-32.2265625,-59.08203125,-52.24609375
-34.1796875,30.2734375,-45.41015625,-43.45703125
-17.578125,33.203125,-26.3671875,-45.41015625
-33.69140625,-83.984375,-34.66796875,-55.17578125
-61.03515625,-117.1875,-42.96875,-59.5703125
-75.1953125,-37.59765625,-47.36328125,-54.6875
-52.734375,-2.9296875,-41.015625,-37.109375
-35.64453125,-9.27734375,-35.64453125,-36.62109375
-41.50390625,-65.91796875,-38.0859375,-50.29296875
-56.640625,-90.33203125,-35.15625,-46.875
-54.19921875,-26.3671875,-36.62109375,-34.1796875
-35.64453125,37.109375,-47.8515625,-28.3203125
-25.390625,8.7890625,-60.546875,-43.45703125
-38.57421875,-63.96484375,-52.24609375,-59.5703125
-54.19921875,-79.58984375,-36.62109375,-56.640625
-54.19921875,-51.7578125,-42.96875,-47.36328125
-45.41015625,3.90625,-41.50390625,-37.59765625
-27.83203125,14.16015625,-31.25,-39.55078125
-31.25,-68.84765625,-34.66796875,-57.12890625
-56.15234375,-99.12109375,-41.9921875,-69.82421875
-74.70703125,-64.453125,-41.9921875,-60.05859375
-57.6171875,-18.06640625,-38.0859375,-44.921875
-31.73828125,11.23046875,-36.1328125,-39.55078125
-36.1328125,-60.546875,-37.59765625,-51.26953125
-62.01171875,-115.234375,-42.48046875,-64.94140625
-79.58984375,-76.66015625,-38.0859375,-59.08203125
-69.3359375,30.76171875,-35.64453125,-47.8515625
-34.66796875,8.30078125,-35.64453125,-27.34375
-32.2265625,-72.75390625,-42.96875,-33.69140625
-75.1953125,-95.703125,-54.6875,-76.171875
-87.890625,-99.12109375,-59.08203125,-69.82421875
-62.5,-12.20703125,-60.05859375,-39.55078125
-39.55078125,35.15625,-54.19921875,-36.1328125
-36.1328125,-21.484375,-47.36328125,-52.24609375
-50.29296875,-86.42578125,-45.8984375,-72.265625
-66.89453125,-87.40234375,-46.38671875,-63.96484375
-67.3828125,-26.3671875,-46.38671875,-41.50390625
